,Time (min),nonCore12AvgTot107,nonCore34AvgTot107,nonCore12AvgTot107.1,nonCore34AvgTot107.1,nonCore12AvgTot107.2,nonCore34AvgTot107.2,nonCore12AvgTot107.3,nonCore12AvgTot107.4,nonCore34AvgTot107.3,nonCore12AvgTot107.5,nonCore12AvgTot107.6,nonCore34AvgTot107.4,nonCore34AvgTot107.5,nonCore12AvgTot107.7,nonCore34AvgTot107.6
0,3.5,0.1506113506852298,0.011108971179011827,0.17634188371686463,0.09532420844062099,0.0686241912416313,0.03358847322600058,0.019044798985934405,0.1059257857197287,0.06738496628393385,,0.09759265361749762,0.15753175896177482,0.25560668677337717,0.14823239439021332,0.13133663527970124
1,4.0,0.20636586965825243,0.08942592335259783,0.2222922931911601,0.34901890050457796,0.17767313953236932,0.11374048398854261,0.06380130823947922,0.09506926038302509,0.11193420761133087,,0.11866596535535695,0.1995703242791667,0.24122121919332284,0.0837554046056734,0.15261974072033982
2,4.5,0.2523121531059539,0.1541780007368292,0.25589032282877383,0.4118480857460247,0.1222206978711335,0.06231173267539724,0.10696500816384079,0.20150048229712816,0.11659338111460398,0.026793412869747433,0.1136400358370113,0.24453609532802673,0.25372076246458525,0.1724133707419755,0.22699047978375494
3,5.0,0.3468089860113324,0.08713088668946066,0.26403123535146106,0.4097186426923822,0.07630546420231159,0.12037873448197936,0.10277370503470308,0.17174918634458708,0.1916813107354436,0.22725359235552894,0.17256387639678053,0.24145704292448072,0.25067413796438387,0.2184353901738647,0.19646851948311211
4,5.5,0.4123898255189334,0.12848269807950818,0.4019855862807167,0.45775093935769695,0.376254484929718,0.18111776051141523,0.1269837993737629,0.32299266553949757,0.24567036444133986,0.28607021390085247,0.30004772800169527,0.262465766046498,0.24644969253791302,0.20708524257678537,0.4502038437035943
5,6.0,0.5524429232111396,0.1724657944095022,0.6304976445170493,0.7836901558547135,0.4619248216471669,0.343363935763497,0.2557499337004844,0.3500948687803791,0.44632596239639777,0.28992853213592273,0.3942759258775442,0.4818895855963399,0.3792815710401662,0.3630053850558465,0.3999239525930303
6,6.5,0.626177572653148,0.3440723897765554,0.4933247055156764,0.8079504238971718,0.7081037753121263,0.3909601582203445,0.23331816079794965,0.39684377508034807,0.4045061984008933,0.3966660342625499,0.40364527105961245,0.55231227290468,0.44495684392747736,0.37242205502136866,0.5791374464608977
7,7.0,0.6402133629036056,0.4979766725956965,0.7337867435103272,0.8164885045665672,0.7323861564175773,0.48096352145951726,0.3113504243208592,0.5446723188873765,0.5606039687412966,0.4411069484173173,0.4699802121831344,0.44202327718974405,0.46500614328305456,0.34278063472432896,0.6588837827979448
8,7.5,0.751151837590388,0.41290023083432,0.6996480727585876,0.7545991346604516,0.9131463391326927,0.33647015851370693,0.5117602307102206,0.5497428466940361,0.5835157873268855,0.5338982626848626,0.5621915568808387,0.5123791281213118,0.5010209465439596,0.5185648698193007,0.6703472882374966
9,8.0,0.8754831894635353,0.4531458621201839,0.8949704379358583,0.7158123788681398,0.5473796198736232,0.5634196150935014,0.6081032631890338,0.5673125736183703,0.6438029638533092,0.5227548940312401,0.7045749675006929,0.6303392715036903,0.5890269557741603,0.5952081240728142,0.6326458622707204
10,8.5,0.7516406870420458,0.5333113828489396,0.8008159581219353,0.9207583079569888,0.8013623129637893,0.714549394366128,0.6034906663858937,0.7050091700319787,0.7644810444785937,0.49749053184680686,0.6332763853707486,0.5617631351227181,0.5328452636206491,0.4826900129483018,0.7295625762835972
11,9.0,0.8688276680608096,0.5965514303093906,0.7989518968537056,0.823961287253818,0.6100521028454118,0.6842124322273432,0.6686154852224744,0.6701139781236538,0.7047797666558706,0.6652256720347008,0.567114861274445,0.5306362594503384,0.6052592358877265,0.6286099005525728,0.6473273511261864
12,9.5,0.7823271018347429,0.5681970612880307,0.8702112971281017,0.8281217368729558,0.9631446945327666,0.521294975017305,0.7001087114556755,0.6694285975303188,0.766406710205983,0.7038080852625053,0.7020158329279034,0.43788472932256317,0.6387054726205269,0.4610054582866803,0.5554522364866583
13,10.0,0.7342617221010356,0.6574997187905475,0.6819389242165662,0.8140157768561229,0.6936270330090156,0.462193682726943,0.773200754210165,0.5072022016287085,0.6540511787479303,0.9265239508344862,0.7885951361578827,0.525372492659433,0.8613584070455244,0.4836305778322859,0.6396187746604813
14,10.5,0.7395107242241943,0.6371540357306464,0.7684439033314511,0.8289376517146192,0.8010081977926138,0.7063616763981626,0.6660479267040967,0.6055533296721528,0.7431973858317424,0.7023263242093417,0.7138314588446333,0.622915780165777,0.6345746338653983,0.4297685274882797,0.6971866727148519
15,11.0,0.8543891960738963,0.7212102471177924,0.6459504459489265,0.6851827520875338,0.8812104164288012,0.6492753034664721,0.6355044236521277,0.41123889680574865,0.8197263610246224,0.5765401956605241,0.6306393257000447,0.5250848655256327,0.6855501015242179,0.4189927220941861,0.594700376916594
16,11.5,0.8455871079423106,0.7825940773437927,0.6420418750613927,0.8413593017091204,0.74053087788911,0.5743029443789442,0.5694373351735282,0.5808396844080732,0.9271138518478721,0.8196875504149248,0.7559300491631377,0.7404137145618859,0.8220246783761775,0.46506322969646224,0.89441342617733
17,12.0,0.9215624137233347,0.8399662320214636,0.7082481510838062,0.5664769804495495,0.9048835910914789,0.7427022990896688,0.6629425461343539,0.5294667440416335,0.865775243168092,0.6426191907023121,0.6171199074237147,0.848789581896558,0.8521610150360625,0.48106450872516654,1.0418825847889013
18,12.5,0.8630431685149879,0.656499711786343,1.0334777234793697,0.8493179874076374,0.9220830280328667,0.8797405536323828,0.7302620564134702,0.6464007982836977,0.8436692689733052,0.6533732369499984,0.6229380473727798,0.5534304277904515,0.6160690281238332,0.5197239057023579,0.964243923961364
19,13.0,0.8750673666069417,0.7434271074403253,0.9060174940423189,0.6015646982734854,1.212646901846396,0.7039755512431463,0.7754809600638851,0.6826364443166331,0.859967494938712,0.5990937920727043,0.7227111437913425,0.6460311288201732,0.7988847629201488,0.7067973190073897,1.1774649889536717
20,13.5,0.8845760432106426,0.8385091480943305,0.9523099560859829,0.7813087880631295,0.9334378591442091,0.7177968358950153,0.7878845056519482,0.7352299726857761,0.8559018063117769,0.6960593370334324,0.6369950585858102,0.7288756114251037,0.8586002490271196,0.6558447513502509,1.1283798152619748
21,14.0,0.8397975978820307,0.867115884842307,0.8912168896790104,0.9371827411234208,0.9456653010701391,0.8531066570428818,0.6884221504331691,0.7798894030916047,0.766665983222891,0.759190641832678,0.714375588279001,0.7159255594787886,0.6403091360791707,0.6881201961498745,1.1466144059536338
22,14.5,0.9353966498269047,0.5378074812323113,0.8893620916601614,0.8310315786965271,0.9407072490995962,0.829387656193887,0.9349017482921472,0.6985929480432286,1.000720960088337,0.7762567862075376,0.8299950909955423,0.86150206838181,0.6432204808374886,0.5994026871431702,0.9017212364150863
23,15.0,0.7892309595707537,0.868605203179132,0.9410447345313728,0.9831799970075188,1.0436846432633262,0.7986653306007879,0.7684250626159463,0.7364755544079074,0.8055384326554057,0.6320676662393436,0.6654857707982311,0.8005183545319375,0.6565486222171361,0.7817736139525967,0.6863883321750186
24,15.5,0.7231087369342024,0.781537924439841,0.9220525808643681,0.8621715443696669,1.0475106026250467,0.823033734852635,0.8066103601313316,0.7470137660705223,0.7734218347084262,0.6468052049351604,0.6968105931115022,0.5761131297612885,0.7401914535389371,0.7150518639665145,0.8540610391060165
25,16.0,0.76933270917421,0.7151332814437045,0.9222496400887016,0.8095162728709839,1.228785269863506,0.9422614150247626,0.9416624595528017,0.7015103408033592,0.7693133910821417,0.658952318215193,0.5815588127061272,0.7637323438450597,0.7957822301312988,0.6237193003651269,0.7497040618547567
26,16.5,0.8008396144390917,0.6836238166755436,0.8487049190225081,0.9069134277752064,1.0527560783403014,0.9377326215801925,0.8742828470150992,0.7518040979849151,0.8190997775373765,0.8279351115875827,0.7171286450004759,0.762081437435984,0.697010796752128,0.6462845221056268,0.8360998002321083
