,Time (min),nonCore12AvgTot93,nonCore12AvgTot93.1,nonCore34AvgTot93,nonCore12AvgTot93.2,nonCore34AvgTot93.1,nonCore12AvgTot93.3,nonCore34AvgTot93.2,nonCore12AvgTot93.4,nonCore34AvgTot93.3,nonCore12AvgTot93.5,nonCore34AvgTot93.4,nonCore34AvgTot93.5,nonCore12AvgTot93.6,nonCore12AvgTot93.7
0,3.5,0.03886524579156391,0.004917564067844801,0.004824069034453306,-0.03922204696626996,-0.020576309813224038,0.019238782490502832,-0.01043192439769369,0.028359665754925982,0.0021208306024121312,-0.0012977847407639432,-0.007342802636394947,-0.0028957772360403795,-0.0024608250535777558,-0.011081337884283586
1,4.0,-0.000358558803255233,0.005949244779763298,-0.007786553682771791,-0.001098688489644826,-0.029943087945624152,-0.006318557621562563,0.013170596241931369,0.02147738833930995,0.00765485165531484,-0.01874845027861928,-0.020749900987567734,0.026227630986640365,0.023741112148846572,-0.023053647586915152
2,4.5,0.005712623879950086,-0.012325169657060191,0.006664290936915972,-0.008181881540973143,-0.03036923691742218,0.007124507693332083,0.0002814817936282099,0.02019031275926622,-0.0056456716481578925,-0.009668717069032398,-0.03525461653981945,0.006716201846728499,0.03093587868093241,-0.0018823402538304087
3,5.0,0.017336229699816894,0.0007425080337365124,0.001249380546285833,-0.022087156732928007,-0.022438545173851188,0.028668598869552708,0.017755618670251414,0.02233579029498488,-0.027962349566728797,-0.009048928199237326,-0.007964039396362447,0.027142916449496554,0.0673528575601862,0.005925542794579542
4,5.5,0.057249571422751236,0.054715837386983546,0.010544194548495976,-0.00437260362923837,0.009999864573477284,0.09408841860774592,0.06449857390489956,0.015701819867331924,0.04349337948919526,0.008524940787446348,0.0018263717908540385,0.06902968538284864,0.1609388443665945,0.02476290269192051
5,6.0,0.19374592516171174,0.12117443602340768,0.06725791524344626,0.0014337466145211632,-0.005973601793721817,0.19602151276740684,0.12956716841968513,0.07841436915028556,0.061581319263471816,0.0689310648577582,0.07097170707609216,0.14129942214681857,0.2850802287705652,0.05957903072740038
6,6.5,0.230546586891788,0.13488602071836103,0.14139087711693968,0.051711990653271735,0.05479147702210204,0.2708527569382818,0.22997898049901894,0.133495680005288,0.13106077043930595,0.06731471322756338,0.14667031576347783,0.1986396735258771,0.35838681699466474,0.1489927747909824
7,7.0,0.41587326650333567,0.13149891505874103,0.2550779255839851,0.11177948282119961,0.12565751333739228,0.28827491207146877,0.26638010423674985,0.17204794251306535,0.16978671452994595,0.21414442862646424,0.1972408331474779,0.2603097025201582,0.3064162054718529,0.18431625554327594
8,7.5,0.4154760545508155,0.2052778668683178,0.33648306561568425,0.1469668683385745,0.1438992620521541,0.3262428450046559,0.31145285563307507,0.2345572004707676,0.22882254937943802,0.23694380326628428,0.28591300734210806,0.30454890499662857,0.47213810314009785,0.2659639854252032
9,8.0,0.514548659127347,0.2695899268810434,0.36366826196208035,0.2753831367010475,0.2998552348987954,0.44545312398858833,0.39847067580960316,0.23210428009148204,0.26739207533425235,0.3296393608992009,0.45368275165118216,0.4227322658914036,0.45579143098264313,0.24449195527805492
10,8.5,0.5044207142546975,0.32499021185664584,0.3870040263692307,0.28197040532421946,0.2927908615330513,0.40116808107969154,0.4712503815160365,0.33521010102104465,0.3488874043688699,0.2990197320474339,0.5068492864100004,0.4578235276483789,0.49317298552805555,0.31426050792351906
11,9.0,0.4707843539168921,0.4092170529135729,0.36414976921316095,0.3938844876647993,0.3347690186704505,0.46031455089510237,0.49120710756585506,0.33069276421048716,0.437394073384821,0.39184329434417753,0.532308247695719,0.4954445644409706,0.6688757106458877,0.43232024163319455
12,9.5,0.7766609250183083,0.48402883775932953,0.39273520321918537,0.48169842402248336,0.3367478582407494,0.4634753331711427,0.5235256741441132,0.34816199122606184,0.4343016901084279,0.46338275380561095,0.7254651650444898,0.5021316854887038,0.6948309946304028,0.4420406007135274
13,10.0,0.77627551255896,0.5191841756522744,0.44370638119370653,0.45240621486877564,0.35296087029085976,0.5571202303807037,0.5218228670331773,0.37707592171843873,0.5676834443939336,0.5073889654735946,0.8086604173744312,0.5363234490698484,0.6834431352309562,0.46414890713982065
14,10.5,0.7351998978150757,0.477743213386909,0.5075962722912706,0.5302777400415813,0.3937484450093101,0.5344386353895009,0.5972656272878172,0.3786611599178474,0.6676069142145619,0.5885920090686334,0.6017513796334136,0.5736790467350503,0.7108213548230213,0.4319358140885941
15,11.0,0.7802188737926278,0.5467869538023313,0.5261155769200848,0.546567639722203,0.41534476628958955,0.669592280546788,0.7050497646160977,0.618583112113393,0.619088630491279,0.6273405367937416,0.8164779805328994,0.7068506225639913,0.8487361325272034,0.5104959638053435
16,11.5,0.7490506156386756,0.5498715884797256,0.549084667176319,0.5808055792117559,0.5008795725512344,0.7845011120378458,0.7286085140535216,0.6031341509286735,0.6208324552469119,0.6371437164333892,0.7556732165160065,0.6183621125549308,0.8403711545264061,0.543616755196822
17,12.0,0.8451551667208222,0.698090970423535,0.5619462979669763,0.5582465025545104,0.5023502830373057,0.8161637959458631,0.7916091909527688,0.5561407349884114,0.5970832515104384,0.8303198309059109,0.9344493041063142,0.7128927620324471,0.8994514440181339,0.5740016365877174
18,12.5,0.7918940730190961,0.7088123693247982,0.5642863423535551,0.7527762379017631,0.5636155787922541,0.8931448410463958,0.8064416219387553,0.649581631640038,0.9254317127912718,0.81004284510981,0.853496819238708,0.8453341333047696,0.9030607292072169,0.6285623707153817
19,13.0,0.8302666214993665,0.6484302182741281,0.6252885903565277,0.7528877770795122,0.5171033443018136,0.9221584942160851,0.840950706837018,0.7522114478493978,0.6952725203561279,0.9197177386959017,0.8506461481749279,0.7059578445482692,0.8452040549113621,0.6635854724519622
20,13.5,0.9325103051740463,0.8006363274120764,0.6942700514762106,0.6380045771882978,0.6964920055709733,0.7599659634200119,0.8241148892105855,0.7016873233174101,0.7581234548612951,0.8527886642896725,0.8795119771126543,0.8008628844936483,0.9232613629955664,0.6714521181532576
