Time	Nup107-Mean	Nup107-STD	Nup93-Mean	Nup93-STD	Nup205-Mean	Nup205-STD	Nup62-Mean	Nup62-STD	SEH1-MEAN	SEH1-STD	Nup188-Mean	Nup188-STD
10.5	21.46883231	3.010275909	26.35405907	5.233361098	11.56642517	3.158659013	25.36221754	5.200474826	17.56456191	3.888591872	9.61975658	2.37763736
11	20.29785103	4.316052103	30.47264954	5.959142442	11.15184492	3.583519834	27.70609688	5.704256528	18.45654016	4.351753812	9.915760304	1.88347057
11.5	22.93775728	4.277114495	30.89778309	5.026559975	12.06895729	2.622655263	29.29678786	5.605051986	21.28158981	5.335143587	12.01954867	1.41336484
12	23.40546643	5.108165936	33.67991943	7.00309623	13.19386888	3.005195107	30.64325439	6.730012829	21.11096328	4.114680288	11.00058701	1.751798779
12.5	23.67362177	5.003625582	36.47096911	5.861955451	13.22022779	1.995453373	32.17031845	6.258775323	21.7450714	3.862286973	13.22704799	2.579116289
13	25.04449521	5.779664258	36.0386278	5.687166689	13.71511739	3.244081777	34.00939938	6.836849884	21.95295926	4.902551996	13.47501987	1.669411743
13.5	25.41967491	4.062688229	37.27973374	4.490798294	13.0188908	1.907039656	34.08774274	7.099786831	22.49017961	3.889216975	14.12520847	2.41328942
14	25.50701208	4.110343443	38.80181289	5.0953649	12.88747794	2.32290591	33.76842887	6.628917963	23.62803826	4.948555829	14.00125484	2.238521002
14.5	25.45782404	4.286011058	39.11668176	4.703173541	13.79623839	2.651989205	33.39984212	6.980894281	22.89893273	5.072260994	14.25849703	2.401844238
15	24.93162417	3.763332478	40.61590035	5.684311086	12.78424966	1.984754804	34.72093863	6.440166672	22.95812633	5.155696655	15.41324755	2.05102112
15.5	24.42676742	3.574958673	40.43838423	5.769420955	12.89324427	1.777266303	33.82069154	5.461374118	23.95794014	5.142898866	15.12745937	1.838412399
16	24.96411169	5.018522937	39.37044623	3.930686964	13.79110677	3.189698931	36.34911689	7.439247567	24.84117905	3.948384808	14.54384081	2.598824079
16.5	25.35835051	3.356743618	40.60792441	4.461597057	12.8655712	2.408300749	36.20063997	6.39607517	23.93868786	5.354025173	13.84490218	2.365075925
17	26.48704548	7.244278779	38.96985759	4.484014373	12.81516889	2.723099887	36.75510631	7.23273132	24.13129246	5.597181823	15.45783671	2.65494864
17.5	26.42875596	4.625221848	38.52793262	4.787291243	12.34386389	2.590950975	37.13540146	6.398471289	24.42166801	4.905008271	14.78877754	2.181835877
18	26.66412802	3.234629737	38.93317275	6.546384395	14.00111343	2.311688727	39.0830894	5.975410399	24.94138853	5.978051277	15.23307616	2.331823248
18.5	24.71858669	5.599017772	40.63716912	5.326931903	13.21865953	3.297014306	37.50966818	5.93533427	24.61827744	4.880943569	15.0536253	2.125284856
19	25.38664063	5.865144606	38.92421837	6.032737362	13.20046162	2.15025376	38.00781182	7.096381718	24.68481211	4.529821098	15.968236	2.10753525
19.5	23.79326172	4.07549456	38.50712012	5.459999677	12.68335514	2.926972838	37.93952206	7.79945414	24.58789349	3.920894069	14.83068846	2.84818118
20	24.18876458	5.265337644	37.98774597	7.211649988	13.23167036	3.524417257	37.12995836	6.727348929	24.21793049	4.413407576	16.18805175	1.570204463
20.5	23.0892405	3.885416789	37.66026103	5.534564055	13.63247439	2.79232939	37.72977155	5.215135912	24.79234538	3.791528092	15.50675261	2.671808572
21	24.95625794	5.501303922	38.86942924	6.34006608	13.48334445	2.941511734	37.57096108	5.531166773	23.81346298	4.526288953	14.56531971	1.617613368
21.5	26.15499918	4.734577314	38.62080864	6.244720039	13.40279701	2.210957607	38.42878232	7.044269763	26.04191686	6.571411252	15.47062184	1.950806474
22	24.00713668	5.041398874	38.67359156	5.336903882	14.57095503	2.479331888	36.74894395	5.350457088	25.1286669	3.523014727	15.29783664	2.005115415
22.5	25.27048113	5.115985057	40.39943087	4.764109182	14.34805043	2.425391171	37.95255998	7.054835869	25.99494186	5.653367892	15.19887594	1.346093971
23	25.03731319	4.661653463	38.89125826	4.475786445	13.88245664	2.380707221	37.79863814	5.246697867	24.87175797	3.812717724	15.24285773	2.142268565
23.5	24.97962425	7.998385362	40.35652552	3.99166067	13.72016946	2.996633883	38.16940144	6.923650512	25.25867685	4.711016488	16.18652542	1.975895796
24	25.37599707	4.459248071	40.82723218	4.300085844	14.04692175	3.071542758	37.6545943	5.582435222	25.25208022	3.782952993	15.75217059	2.148000243
24.5	26.17181069	6.09142621	41.73469569	3.722091104	14.70457597	3.839847593	38.03540781	6.072090315	26.52878221	4.40675582	15.37759546	1.713164063
25	25.31466569	6.141209241	42.00440151	5.090319155	14.89548369	3.123672549	38.02449225	5.126526695	25.39573608	3.82791398	15.39056792	1.548861891
25.5	26.43374431	6.97030212	40.18795407	4.79972795	13.37265623	2.358097286	39.30635102	5.474960152	26.17895278	3.833212091	16.02884393	1.567993485
26	26.73117271	7.440020897	40.08021383	5.494973583	14.27124004	2.704912207	39.74373441	5.973375848	27.19248547	4.805670697	16.00082298	1.469533376
26.5	26.88088326	5.890351449	40.56023694	4.458696374	15.07379652	3.017498083	38.4022135	6.690222076	26.16297981	3.922630561	15.68112815	1.88881337
27	27.08178522	5.802797783	39.98527674	4.406624754	14.47872692	2.108655985	38.86694581	5.854507473	27.4112601	5.022087594	15.34840149	2.071035064
27.5	27.09940056	6.28625482	42.09118899	5.16691466	13.52156021	2.936278152	39.42146249	5.544215178	26.39751989	4.173136939	15.15088671	1.723753947
28	27.29068104	4.912123876	40.35233345	5.073105358	14.83215582	2.598971352	41.83602444	6.598989966	27.43959562	5.611786147	16.21809686	1.715936755
28.5	27.34678729	6.609296529	40.57521344	3.709506195	15.04522924	1.855848048	40.88333922	4.637086478	25.99883148	5.460140027	16.54610642	2.696358707
29	26.73702296	5.002332154	39.58375209	4.7553869	16.17540334	3.798517118	40.87951248	5.459592585	26.36271062	4.448398486	16.34680867	2.109799723
29.5	27.56839493	6.228745575	41.54128075	4.266143121	15.45547568	3.466841438	41.10275768	5.764826279	27.57001355	4.520094151	16.23163763	1.480061733
30	27.54989231	6.69175409	40.99528518	5.303596509	15.60812009	2.762532591	41.32062367	5.725125581	27.87197385	5.967952175	16.62204561	2.340662474
30.5	28.42255704	5.997216771	40.69414641	4.869233661	16.0133378	3.741869122	41.8464188	6.086463722	27.38317935	3.912680207	16.27065822	2.315432168
31	28.86830713	7.383857335	41.13977016	4.413178151	15.66007273	2.010568205	42.08686588	4.627758029	26.53263517	3.563313618	16.01887032	2.209207193
31.5	28.51161555	5.58536215	41.40002361	3.70805001	15.84268686	3.239760777	41.92854605	5.88103431	27.41835719	4.202827984	16.32429651	3.011478818
