,Time (min),nonCore12AvgTot62,nonCore34AvgTot62,nonCore12AvgTot62.1,nonCore34AvgTot62.1,nonCore12AvgTot62.2,nonCore34AvgTot62.2,nonCore12AvgTot62.3,nonCore34AvgTot62.3,nonCore12AvgTot62.4,nonCore34AvgTot62.4,nonCore12AvgTot62.5,nonCore34AvgTot62.5,nonCore12AvgTot62.6,nonCore12AvgTot62.7,nonCore34AvgTot62.6,nonCore12AvgTot62.8,nonCore34AvgTot62.7,nonCore12AvgTot62.9,nonCore12AvgTot62.10,nonCore34AvgTot62.8,nonCore12AvgTot62.11,nonCore34AvgTot62.9
0,3.5,0.03476229367148857,0.06846928596343389,-0.08413017476211751,-0.007043036488589148,0.0637179422018392,0.017343278000869735,0.036047369002376366,0.027947095403613245,0.032838458274104435,0.011408226742169812,-0.06710573949288451,0.00790852391906844,-0.035240030162285316,-0.008231141430053393,0.03557720782965689,0.039058854059320386,0.052902470049072836,0.03532507128074794,0.022146436033855892,0.04801418330953277,-0.016315078981483107,-0.025691867194757956
1,4.0,-0.03519344242890547,0.05800505533907795,-0.014775935174060123,0.027305487294112207,0.019578735522016295,0.02475208535101944,0.051416585766945334,0.053262333836976865,-0.018741946225171807,-0.01518477286689266,-0.022026438273277972,0.018151717587389957,-0.01522964633522395,-0.0015384587090003933,0.018164363689702565,0.005075972514806855,0.03087251271465339,-0.02188383963396649,0.018259729306641527,0.009853611688615501,-0.021222581808114264,0.059994489835196584
2,4.5,-0.017870523878012495,0.05603021738020229,-0.01146185176372246,0.04025320958876231,0.008567400180985578,-0.003054087364763652,0.003949981487580464,0.05294188045407122,-0.026901469732696887,-0.017861044397425828,-0.02121269839572661,-0.010401216284895189,0.003255532454582414,0.007404339575645387,-0.006155471771700839,-0.013697803089533422,-0.01641128570002243,0.0017334687931473886,0.012818354342110634,0.015117674207270967,0.0008422638524106276,-0.007293165948291296
3,5.0,0.017879387113743463,-0.033755433009012424,-0.041538390371868704,0.009050769209764884,-0.009457402199820471,-0.023033778385343325,-0.022937703842506197,0.02459718055209993,0.010387218653106354,0.00034203462414651,0.016688223122390537,0.00048614792848192414,0.06415109438487773,0.021918990124523443,0.008098704217604565,-0.006138304664071182,0.03570637888650966,0.0072405072618000575,0.03227985040943696,0.025759393465349164,0.02388787427930881,0.044338043097466064
4,5.5,0.08305918365963576,0.1359416550785197,0.07760711326756098,-0.004384609122297022,0.027027529466489335,0.03227981771781645,-0.033646906392810164,-0.0007898852967831968,-0.024581658081658422,0.005507983448881604,0.04945357120858737,0.09002026530828754,0.12937415139802272,0.05899869111218887,0.1130348953001069,0.03371080284761333,0.012763362956544944,-0.0012629492819764595,0.05538357018312754,0.047423125936538114,0.0673391937811682,0.1315514560808676
5,6.0,0.1559545534501977,0.2195773564132194,0.042191627034387495,0.09724209545275364,0.06988651470354362,0.060595832920107826,-0.02143510870359234,-0.006746169693048023,0.012713598364933298,0.03145938538799136,0.13109984235636762,0.13933513184162316,0.13543910016390945,0.17529110771012774,0.03721797981093052,0.054796912726872496,0.02804504615683023,0.03743333659711243,0.08530797129192094,0.08886753070743432,0.14441520897109944,0.07586023583565422
6,6.5,0.19107882974050033,0.29737415239804815,0.05239833859154578,0.23462441341148196,0.08398647891941281,0.14418112118984233,0.050133018334851044,0.12882585675535294,0.11424184523645416,0.1230278542141653,0.2487840267568045,0.28355363871473466,0.2482762372610695,0.2801332192850855,0.13526929405387958,0.17500756920734395,0.11082807349720376,0.13467601363544274,0.1433265733854951,0.17998887579048284,0.29668940888089573,0.2728821310988927
7,7.0,0.33127165285180854,0.31427833687502693,0.29247998698453653,0.2316977705863084,0.13299109997848907,0.17749008016457765,0.1323888570269187,0.20063749754402257,0.1478476304005966,0.34125375892630855,0.32371461224291814,0.293581050684388,0.3324254562589414,0.34247846687455746,0.15257912300238377,0.21909559948926363,0.17725329256030764,0.20790106320495552,0.21867551853807393,0.16985352739254922,0.2529809986383909,0.31870053378152025
8,7.5,0.4484126408967016,0.4674088822627456,0.3183916892080993,0.4137334107932561,0.18756239008636297,0.2448537976516722,0.20227598924116613,0.2988522675635406,0.20247029134044395,0.3510298594743639,0.3796945069224104,0.411450668869795,0.30533131701106087,0.4596142088310364,0.38158355066714206,0.26917506436231764,0.27583955546976247,0.2368754629552777,0.22815102063215095,0.24979766880973872,0.34494335788748093,0.30920499913611615
9,8.0,0.3723168385679381,0.48222666503994244,0.42999348419983624,0.4259099388052797,0.29688456682825204,0.2908412577939794,0.2896891228963311,0.24662224459300147,0.19012255664861102,0.40857894167516373,0.379425663097293,0.42213517545037726,0.3962277739366334,0.45723092741183735,0.3786363064670079,0.4751109310282198,0.3587191576197553,0.321953341884266,0.3630211857087231,0.28001990266760524,0.38234058762233514,0.39434782293203885
