,Time (min),nonCore12AvgTot205,nonCore34AvgTot205,nonCore12AvgTot205.1,nonCore12AvgTot205.2,nonCore34AvgTot205.1,nonCore12AvgTot205.3,nonCore12AvgTot205.4,nonCore34AvgTot205.2,nonCore12AvgTot205.5,nonCore34AvgTot205.3,nonCore12AvgTot205.6,nonCore34AvgTot205.4,nonCore12AvgTot205.7,nonCore34AvgTot205.5
0,3.5,0.004653323954629726,0.013598889081551825,-0.006088995437185302,0.001711996982616333,0.07010772658239166,-0.019078777328559084,-0.00022149052891413563,0.012081676688584574,0.0018311462347212432,0.04642245299898099,-0.1039486298060796,-0.013114177602508163,0.12405058556816637,0.021063986368696715
1,4.0,0.07023779948199743,0.026199080665992285,0.0882995728085589,-0.011426263019681986,-0.028624605623447194,0.02089875437596009,0.014995894201484769,0.036337171518624825,-0.05026734682353215,-0.0008092091471955333,-0.011137658398733303,-0.0036035378098473827,-0.021682750042401645,0.04148485715672107
2,4.5,0.01026114017558933,0.004420214556436018,-0.025689325423479493,-0.018707028725606614,-0.01266107003708041,0.022506681955627487,0.00885359167754125,0.04560108231837498,0.0027963404720329163,0.005160512176447791,-0.06773445303556146,0.019296693171149064,0.006966157042905476,0.049380811143071704
3,5.0,-0.012891755799559907,0.04050212645194315,-0.049002824066242935,-0.03720318376079679,-0.017296853233893912,-0.00043861268267870383,0.027048798618298484,0.09239932770273235,-0.0120703074113563,-0.010507247666272066,-0.1489431449862312,0.015457396820419304,0.033554304655407825,-0.01280064469101943
4,5.5,0.04588497429758132,0.020187798306268632,0.031018346293448244,0.029370882138947934,0.06327240840028588,0.056480657414925486,0.07767767645986355,0.045848527712071804,0.017206303620600803,-0.00806354055818464,-0.028754566787961452,0.04672032681858621,0.1374113668085606,0.11327668872904599
5,6.0,0.03781313391000526,0.045812059367123334,0.09565217000662331,0.024114993818849413,0.20515404504131715,0.030007825228723556,0.11699522152859461,0.11139227312951368,0.019723466046363502,0.04293192966384559,0.04845031588642229,0.13523467264562183,0.17298667380889712,0.1767377922687262
6,6.5,0.1389792667716091,0.09375979943674202,0.23448948748437423,0.18486651883891284,0.34003775741231873,0.1334136086175734,0.22246635877637946,0.2722061989823951,0.1801917994165213,0.16374597240654173,0.295379749106287,0.35021487701018655,0.5444717020805956,0.3289972972453087
7,7.0,0.2869206464965005,0.16481697739289683,0.3803948739644849,0.3223145675751583,0.5830762833469724,0.34912261942261186,0.43131282974406976,0.30950293173855287,0.24236159736347826,0.29700088620610887,0.12908561197302543,0.38860793876832944,0.47133310297253134,0.3061201619508033
8,7.5,0.4024716103765708,0.24915052427506015,0.5084592254616518,0.3242629559472223,0.6431177381283046,0.3582562920920542,0.5017652873302182,0.639335622161473,0.33109157613080853,0.3565334602507014,0.24227616909324218,0.3455231589120024,0.5480073011275296,0.4389200609244801
9,8.0,0.5376223746903577,0.43378023242712005,0.5445093813550734,0.3900581588615192,0.7901726154853089,0.4276627124845215,0.47009666427996394,0.5247722145379635,0.29927727384367886,0.5783484799622368,0.42185203112285563,0.5332364495337487,0.7490198399405814,0.582926191048283
10,8.5,0.5000791329657186,0.3786266144240754,0.6399365679278007,0.4778620091467145,0.6153960084232671,0.37017585570859063,0.5826491801962119,0.704266161330583,0.4052421744569756,0.5257107788110705,0.3972006893438236,0.5565074992589969,0.6488102526678022,0.6322619919708712
11,9.0,0.5109974553005077,0.4189947591774146,0.7526322806052307,0.4084333475209097,0.6733829668548946,0.41133911789653504,0.5558193085632696,0.540006641443291,0.5911989236369681,0.6475342789270693,0.29964571109816585,0.6516377643156146,0.9504462747375284,0.542743599391297
12,9.5,0.4160460322857355,0.38682864181700444,0.5787003255726905,0.4405637064491204,0.9508778927790921,0.428272196627017,0.6676382594014708,0.5657559759904527,0.5368618084293512,0.4438673897551488,0.8547946964162212,0.48722486258083764,0.7663919481470708,0.5790526364796762
13,10.0,0.500046897860277,0.4589723119639652,0.662178693749334,0.6533945158003382,0.9403308048765344,0.40482995750933387,0.6955403902385645,0.5617768859610721,0.7552609051169666,0.6307522334520961,0.8261259965563647,0.587218838805725,1.1226269783474458,0.8436178825759747
14,10.5,0.4973018771207113,0.5577855630212581,1.1650986771547864,0.6086349835418123,0.7745022302370945,0.6810221355518717,0.6658151634793004,0.5574877002076516,0.8147814539398185,0.7049506065099528,0.510403978529318,0.7324299340424109,1.0370416481650893,0.6026521789106264
15,11.0,0.5423055670868991,0.4662711649104598,1.0541935771385798,0.5303542064087643,1.0359563677198158,0.4139085382296685,0.6400451145914381,0.5608532572741336,0.9131164679816206,0.6068393450623238,0.6741180726903526,0.5388363302139619,0.9909084095302418,0.5869966975435221
16,11.5,0.6481062683530098,0.5793536491918485,1.02382446289164,0.7209338035801267,0.8758626870206244,0.5675154885071397,0.6551557330398962,0.7920310521525025,0.7296989653272054,0.6836609975036436,0.6994767667470374,0.5957666743179102,1.1014823718433286,0.6675998286762348
17,12.0,0.7353981078703177,0.7876254550299834,0.974574487885587,0.5790896086446159,0.8912331552658196,0.6085024262587878,0.6200747123160074,0.8417880263755153,0.8107930252241311,0.7029589106133902,1.287112504162145,0.6821822250073749,0.904678819523633,0.8782616040539122
