,time_min,Pom121,Nup153,Nup107,Seh1,Nup205,Nup93,Nup62,Nup214,TPR,Nup358
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.0,0.0,0.03226907369086427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.12907629476345708,0.058928016203686,0.0,0.0,0.0,0.03785847249343991,0.0,0.010907505390916991
3,1.5,0.0,0.0,0.45176703167209975,0.235712064814744,0.0,0.0,0.09332772954268195,0.09464618123359979,0.0,0.010907505390916991
4,2.0,0.02278250401398807,0.029751545970968504,1.0326103581076567,0.58928016203686,0.016753516531245634,0.04648177352005033,0.1866554590853639,0.17036312622047958,0.0,0.03272251617275097
5,2.5,0.06834751204196421,0.08925463791290551,1.9038753477609918,1.149096315971877,0.05026054959373691,0.139445320560151,0.4666386477134098,0.3028677799475193,0.0,0.054537526954584956
6,3.0,0.25060754415386877,0.29751545970968507,3.130100148013834,1.9151605266197949,0.13402813224996507,0.3253724146403523,0.8399495658841375,0.45430166992127896,0.0,0.07635253773641894
7,3.5,0.6151276083776779,0.8032917412161495,4.6467466114844544,2.975864818286143,0.26805626449993014,0.6507448292807047,1.3999159431402293,0.6435940323884787,0.0,0.10907505390916991
8,4.0,1.3213852328113083,1.8148443042290787,6.389276590791125,4.242817166665391,0.5193590124686147,1.2085261115213084,2.239865509024367,0.8707448673491179,0.0,0.15270507547283788
9,4.5,2.574422953580652,3.5701855165162204,8.325421012242982,5.716017571757542,0.92144340921851,1.9987162613621643,3.2664705339938687,1.1546834110499173,0.0,0.20724260242742282
10,5.0,4.465370786741662,6.247824653903385,10.35837265476743,7.336538017358906,1.5078164878121072,3.160760599363423,4.573058747591416,1.4575511909974368,0.019545717437478016,0.2617801293820078
11,5.5,6.925881220252373,9.699003986535732,12.391324297291877,9.0454504872658,2.2952317647806524,4.648177352005034,6.1596301498170085,1.779348207191676,0.03909143487495603,0.3163176563365927
12,6.0,9.705346709958917,13.566704962761639,14.359737792434599,10.783826965274537,3.30044275665539,6.600411839847146,7.932857011127967,2.157932932126075,0.05863715231243404,0.3926701940730116
13,6.5,12.484812199665464,17.31539975510367,16.231344066504725,12.49273943518143,4.489942430373831,8.970982289369715,9.939403196295627,2.5554468933071943,0.07818286974991207,0.46902273180943055
14,7.0,14.968105137190163,20.528566719968268,17.9738740458114,14.113259880782795,5.796716719810989,11.666925153532633,12.132604840548654,2.971890090735033,0.11727430462486808,0.5453752695458496
15,7.5,16.972965490421114,23.057448127500592,19.52278958297288,15.674852310180476,7.170505075373131,14.595276885295805,14.372470349573021,3.407262524409592,0.17591145693730215,0.6435428180641025
16,8.0,18.5221757633723,24.931795523671607,20.94262882537091,17.089124699068936,8.510786397872783,17.709555711139178,16.70566358814007,3.8615641943308705,0.2540943266872142,0.7417103665823555
17,8.5,19.661300964071703,26.300366638336158,22.201122699314613,18.385541055550032,9.767300137716205,20.7773527634625,19.038856826707118,4.33479510049887,0.37136863131208225,0.8398779151006082
18,9.0,20.481471108575278,27.25241610940715,23.298271204804,19.564101379623754,10.889785745309663,23.79866804226577,21.325386200502827,4.808026006666869,0.5081886533744284,0.9489529690097782
19,9.5,21.096598716952954,27.936701666739424,24.29861248922079,20.624805671290098,11.878243220653156,26.634056226988836,23.51858784475585,5.281256912834869,0.6841001103117307,1.068935528309865
20,10.0,21.529466293218725,28.41272640227492,25.137608405183265,21.567653930549074,12.715919047215436,29.23703554411166,25.571797894694857,5.754487819002867,0.9186487195614667,1.188918087609952
21,10.5,21.825638845400572,28.769744953926544,25.91206617376401,22.39264615740068,13.402813224996509,31.561124220114177,27.531680215091175,6.246647961417587,1.192288763686159,1.3089006469100388
22,11.0,22.053463885540452,29.007757321694292,26.55744764758129,23.129246359946755,13.989186303590104,33.60632225499639,29.30490707640213,6.719878867585584,1.524565960123285,1.4397907116010427
