,Time (min),AVERAGE,STD
141,74,1.064366968,0.104294634
142,74.5,0.990948483,0.096755894
143,75,1.039183432,0.111114914
144,75.5,1.042275658,0.071040673
145,76,0.99806698,0.097923903
146,76.5,1.035691935,0.113234403
147,77,0.998588921,0.081474465
148,77.5,0.974754555,0.09818928
149,78,1.002267676,0.114410935
150,78.5,1.002305059,0.069013711
151,79,1.009396975,0.10884377
152,79.5,1.048848529,0.134519748
153,80,1.041453458,0.046690954
154,80.5,1.02645524,0.097147989
155,81,1.003159674,0.099413539
156,81.5,0.988763423,0.100074421
157,82,1.00784078,0.083791222
158,82.5,0.989907413,0.14897076
159,83,1.025398856,0.093325991
160,83.5,1.063198186,0.097720941
161,84,1.07424853,0.086334154
162,84.5,1.026010083,0.055365418
163,85,1.025365237,0.105605533
164,85.5,1.037702118,0.088879929
165,86,1.037126101,0.09869229
166,86.5,1.005677927,0.109657815
167,87,1.087658997,0.071836857
168,87.5,1.038659942,0.118102083
169,88,1.023830764,0.092126601
170,88.5,1.017826566,0.063892936
171,89,1.035372863,0.066586813
172,89.5,1.023285885,0.073043104
173,90,1.047781534,0.068093957
174,90.5,0.998474279,0.109087581
175,91,1.063599451,0.100360105
176,91.5,1.025958497,0.099947859
177,92,1.027554902,0.067280891
178,92.5,1.047977737,0.097622163
179,93,1.060082222,0.088107263
180,93.5,1.017811321,0.079492228
181,94,1.000608964,0.085462634
182,94.5,1.035351838,0.152391771
183,95,1.073021271,0.101178852
184,95.5,1.035024204,0.102818206
185,96,1.029134533,0.066693906
186,96.5,1.038775808,0.1223958
187,97,1.02838905,0.103475259
188,97.5,1.033778533,0.075598295
189,98,1.040162398,0.109222891
190,98.5,1.106150747,0.090337558
191,99,1.088806975,0.095784235
192,99.5,1.046115246,0.080819008
193,100,1.038123255,0.077035296
194,100.5,1.060377085,0.09203526
195,101,1.06122383,0.065258276
196,101.5,1.024536883,0.101163444
197,102,1.04154023,0.099247253
198,102.5,1.074320041,0.087547838
199,103,1.04953661,0.097644934
200,103.5,1.045050687,0.080465122
201,104,1.055403663,0.069266212
202,104.5,1.03682389,0.122863082
203,105,1.057281406,0.103317975
204,105.5,1.040967543,0.080396228
205,106,1.009538404,0.112703244
206,106.5,1.025783502,0.099434515
207,107,1.077795753,0.102796158
